date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:44	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226765c4ef-239b%22	https://romainduhr.github.io/robots.txt		(from )
18:11:46	28366/28366	---M-Z	200	added ('OK')	text/html	etag:W/%226774145a-6ece%22	https://romainduhr.github.io/website/	./romainduhr.github.io/website/index.html	(from )
18:11:46	165/165	---M--	200	added ('OK')	text/css	etag:%226774145a-a5%22	https://romainduhr.github.io/website/styles/general.css	./romainduhr.github.io/website/styles/general.css	(from https://romainduhr.github.io/website/)
18:11:47	536/536	---M-Z	200	added ('OK')	text/css	etag:W/%226774145a-218%22	https://romainduhr.github.io/website/styles/sub-part.css	./romainduhr.github.io/website/styles/sub-part.css	(from https://romainduhr.github.io/website/)
18:11:48	1855/1855	---M-Z	200	added ('OK')	text/css	etag:W/%226774145a-73f%22	https://romainduhr.github.io/website/styles/navbar.css	./romainduhr.github.io/website/styles/navbar.css	(from https://romainduhr.github.io/website/)
18:11:49	1499/1499	---M-Z	200	added ('OK')	text/css	etag:W/%226774145a-5db%22	https://romainduhr.github.io/website/styles/home.css	./romainduhr.github.io/website/styles/home.css	(from https://romainduhr.github.io/website/)
18:11:50	1029/1029	---M-Z	200	added ('OK')	text/css	etag:W/%226774145a-405%22	https://romainduhr.github.io/website/styles/about.css	./romainduhr.github.io/website/styles/about.css	(from https://romainduhr.github.io/website/)
18:11:51	2200/2200	---M-Z	200	added ('OK')	text/css	etag:W/%226774145a-898%22	https://romainduhr.github.io/website/styles/skills.css	./romainduhr.github.io/website/styles/skills.css	(from https://romainduhr.github.io/website/)
18:11:52	2968/2968	---M-Z	200	added ('OK')	text/css	etag:W/%226774145a-b98%22	https://romainduhr.github.io/website/styles/project.css	./romainduhr.github.io/website/styles/project.css	(from https://romainduhr.github.io/website/)
18:11:53	1109/1109	---M-Z	200	added ('OK')	text/css	etag:W/%226774145a-455%22	https://romainduhr.github.io/website/styles/contact.css	./romainduhr.github.io/website/styles/contact.css	(from https://romainduhr.github.io/website/)
18:11:54	274/274	---M-Z	200	added ('OK')	text/css	etag:W/%226774145a-112%22	https://romainduhr.github.io/website/styles/footer.css	./romainduhr.github.io/website/styles/footer.css	(from https://romainduhr.github.io/website/)
18:11:55	6673/6673	---M--	200	added ('OK')	image/png	etag:%226774145a-1a11%22	https://romainduhr.github.io/website/img/icons/address-card-solid.png	./romainduhr.github.io/website/img/icons/address-card-solid.png	(from https://romainduhr.github.io/website/)
18:11:57	260633/260633	---M--	200	added ('OK')	application/pdf	etag:%226774145a-3fa19%22	https://romainduhr.github.io/website/Romain-DUHR.pdf	./romainduhr.github.io/website/Romain-DUHR.pdf	(from https://romainduhr.github.io/website/)
18:11:58	8437/8437	---M--	200	added ('OK')	image/png	etag:%226774145a-20f5%22	https://romainduhr.github.io/website/img/icons/cloud-arrow-down-solid.png	./romainduhr.github.io/website/img/icons/cloud-arrow-down-solid.png	(from https://romainduhr.github.io/website/)
18:12:00	688348/688348	---M--	200	added ('OK')	image/png	etag:%226774145a-a80dc%22	https://romainduhr.github.io/website/img/pictures/my-picture.PNG	./romainduhr.github.io/website/img/pictures/my-picture.png	(from https://romainduhr.github.io/website/)
18:12:00	424912/424912	---M--	200	added ('OK')	image/jpeg	etag:%226774145a-67bd0%22	https://romainduhr.github.io/website/img/thumbnails/thumbnail1.JPG	./romainduhr.github.io/website/img/thumbnails/thumbnail1.jpg	(from https://romainduhr.github.io/website/)
18:12:00	25620/25620	---M--	200	added ('OK')	image/png	etag:%226774145a-6414%22	https://romainduhr.github.io/website/img/icons/html.png	./romainduhr.github.io/website/img/icons/html.png	(from https://romainduhr.github.io/website/)
